type,value,refanged_from,rep_source,rep_verdict,rep_score
ipv4,192.210.239.172,192[.]210[.]239[.]172,AbuseIPDB,clean,0
domain,cdn.lgaircon.xyz,cdn[.]lgaircon[.]xyz,,,
domain,cdn.phototagx.com,cdn[.]phototagx[.]com,,,
domain,lgaircon.xyz,lgaircon[.]xyz,,,
domain,www.roomako.com,www[.]roomako[.]com,,,
url,http://192.210.239.172:3219/LVLWPH.exe,hxxp[://]192[.]210[.]239[.]172:3219/LVLWPH[.]exe,,,
url,http://192.210.239.172:3219/MCUCAT.exe,hxxp[://]192[.]210[.]239[.]172:3219/MCUCAT[.]exe,,,
url,http://192.210.239.172:3219/TJPLYT.exe,hxxp[://]192[.]210[.]239[.]172:3219/TJPLYT[.]exe,,,
url,http://192.210.239.172:3219/z44.exe,hxxp[://]192[.]210[.]239[.]172:3219/z44[.]exe,,,
url,https://cdn.lgaircon.xyz/jquery-3.3.1.min.js,hxxps[://]cdn[.]lgaircon[.]xyz/jquery-3[.]3[.]1[.]min[.]js,,,
url,https://cdn.phototagx.com/,hxxps[://]cdn[.]phototagx[.]com/,,,
url,https://lgaircon.xyz/owa/OPWiaTU-ZEbuwIAKGPHoQAP006-PTsjBGKQUxZorq2,hxxps[://]lgaircon[.]xyz/owa/OPWiaTU-ZEbuwIAKGPHoQAP006-PTsjBGKQUxZorq2,,,
url,https://www.roomako.com/jquery-3.3.1.min.js,hxxps[://]www[.]roomako[.]com/jquery-3[.]3[.]1[.]min[.]js,,,
sha256,14ed3878b6623c287283a8a80020f68e1cb6bfc37b236f33a95f3a64c4f4611f,,,,
sha256,1c38e3cda8ac6d79d9da40834367697a209c6b07e6b3ab93b3a4f375b161a901,,,,
sha256,1de72c03927bcd2810ce98205ff871ef1ebf4344fba187e126e50caa1e43250b,,,,
sha256,4ffc33bdc8527a2e8cb87e49cdc16c3b1480dfc135e507d552f581a67d1850a9,,,,
sha256,C02d50d0eb3974818091b8dd91a8bbb8cdefd94d4568a4aea8e1dcdd8869f738,,,,
