type,value,refanged_from
ipv4,192.0.2.150,
ipv4,198.51.100.23,
ipv4,198.51.100.99,
ipv4,203.0.113.47,203.0.113[.]47
domain,cdn-sync.example,cdn-sync[.]example
domain,example-vendor.example,
domain,mail-secure-login.example,mail-secure-login[.]example
domain,update-server.example,update-server[.]example
url,http://cdn-sync.example/files/loader.bin,hxxp://cdn-sync[.]example/files/loader.bin
url,https://update-server.example/api/v2/beacon,hxxps://update-server[.]example/api/v2/beacon
email,hr-team@mail-secure-login.example,hr-team@mail-secure-login[.]example
email,invoice@example-vendor.example,
md5,44d88612fea8a8f36de82e1278abb02f,
sha1,da39a3ee5e6b4b0d3255bfef95601890afd80709,
sha256,9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08,
sha256,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
cve,CVE-2023-23397,
cve,CVE-2024-3400,
